Table name,Column name,Full Field Name English,Description English,Data type,Character max length
MDOTW_VW_OCCURRENCE_PUBLIC,ARFFCategoryID,ARFF category identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,BearingID_Abbr,Bearing abbreviation,"The abbreviated bearing compass direction, when referencing the occurrence location from a landmark.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,AcID,Aircraft identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_EVENTS_AND_PHASES_PUBLIC,AcID,Aircraft identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_INJURIES_PUBLIC,AcID,Aircraft identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_SURVIVABILITY_PUBLIC,AcID,Aircraft identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,ActualAltitude,Actual altitude,"The actual altitude of the specific aircraft involved, in feet.",numeric,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,ActualSepHorizontal,Actual separation horizontal,The actual horizontal separation of the aircraft.,numeric,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,ActualSepHorizontalEnum,Actual horizontal separation enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,ActualSepTime,Actual separation time,"The actual separation time of the aircraft, in minutes.",numeric,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,ActualSepVertical,Actual vertical separation,"The actual vertical separation of the aircraft, in feet.",numeric,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,AerodromeOperatorID,Aerodrome operator identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,AircraftCommonNameID,Aircraft common name identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_SURVIVABILITY_PUBLIC,AircraftEvacTime,Aircraft evacuation time,"The duration of the aircraft evacuation, in minutes.",int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,AircraftID,Aircraft identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,AircraftMakeID,Aircraft make identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,AircraftModelID,Aircraft model identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,AircraftSeries,Aircraft series,"The aircraft series, if applicable.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,AircraftTypeID,Aircraft type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,AircraftVersion,Aircraft version,"The TSB version assigned to the aircraft registration, if specific information has changed (e.g. make or model).",numeric,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,AircraftTypeID_DisplayEng,Aircraft type (English),"The aircraft type as defined in the Canadian Aviation Regulations, Part 1, Subpart 1.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,AirportID,Airport identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,LandingTakeOffAirportID,Landing/takeoff airport identification number,The International Civil Aviation Organization (ICAO) airport identification abreviations identifying the occurrence landing/takeoff airport.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,AircraftTypeID_DisplayFre,Aircraft type  (French),"The aircraft type as defined in the Canadian Aviation Regulations, Part 1, Subpart 1.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,AirportID_AirportName,Airport identification number airport name,"The name of the occurrence airport, or the airport used as reference to the occurrence location.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,DepartAirportID_AirportName,Departure airport identification number airport name,"The name of the departure airport, if applicable.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,DestAirportID_AirportName,Destination airport identification number airport name,"The name of the destination airport, if applicable. ",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,LandingTakeOffAirportID_AirportName,Landing/takeoff airport identification number airport name,The full name of the airport/aerodrome/heliport.,varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,AirWarningSystemID,Air warning system identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,AmateurBuildIND,Amateur build indicator,Indicates whether the aircraft was amateur-built.,smallint,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,ApproachRunwayID,Approach runway identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,ApproachTypeID,Approach type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,AreaTypeDetailID,Area type detail identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,AtsServiceID,ATS service identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,AtsTypeID,ATS type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,AtsUnitInvolvedEnum,ATS unit involved enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,AtsUnitName,ATS unit name,The air traffic service (ATS) unit name.,varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,BearingID,Bearing identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,CarsSubpartID,CARs subpart identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,ClearedAltitude,Cleared altitude,"The altitude for which the specific aircraft involved was granted an ATC clearance, in feet.",numeric,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,CofGWithinLimitsEnum,Centre of gravity within limits enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,CombustibleID,Combustible identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,CommonName,Common name,The common name of the occurrence.,varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,BearingID_CompassPoint,Compass point bearing,The bearing compass direction of the occurrence location from a landmark.,varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,ControlStatusID,Control status identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,AirportID_CountryID,Airport identification number country identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,CountryID,Country identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,DamageLevelID,Damage level identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,DangerousGoodEnum,Dangerous goods enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,DepartAirportID,Departure airport identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,DepartDesc,Departure description,"A description of the departure location, filled in as free form text when no DepartAirportID is specified.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,DepartLocationTypeID,Departure location type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,DeployedEnum,Deployed enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,DestAirportID,Destination airport identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,DestinationDesc,Destination description,"A description of the destination location, filled in as free form text when no DestAirportID is specified.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,DestLocationTypeID,Destination location type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,ActualSepHorizontalEnum_DisplayEng,Actual separation horizontal (English),"The unit of measure for actual horizontal separation, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,AerodromeOperatorID_DisplayEng,Aerodrome operator (English),"The aerodrome operator type, in English.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,AircraftCommonNameID_DisplayEng,Aircraft common name (English),"The aircraft common name (e.g. marketing designation), in English.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,AircraftMakeID_DisplayEng,Aircraft make (English),"The aircraft make, in English.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,AircraftModelID_DisplayEng,Aircraft model (English),"The aircraft model, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,AirportID_CountryID_DisplayEng,Airport country (English),"The country in which the airport is located, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,AirportID_ProvinceID_DisplayEng,Airport province (English),"The province or the state in which the airport is located, in Canada or the United States respectively, in English. ",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,AirWarningSystemID_DisplayEng,Air warning system (English),"The type of airborne collision avoidance system activated, in English.",varchar,255
